BCR, Name
1,Aleutian/Bering Sea Islands 
2,Western Alaska
3,Arctic Plains and Mountains 
4,Northwestern Interior Forest
5,Northern Pacific Rainforest 
6,Boreal Taiga Plains 
7,Taiga Shield and Hudson Plains
8,Boreal Softwood Shield
9,Great Basin 
10,Northern Rockies 
11,Prairie Potholes 
12,Boreal Hardwood Transition 
13,Lower Great Lakes/St.Lawrence Plain 
14,Atlantic Northern Forest 
15,Sierra Nevada
16,Southern Rockies/Colorado Plateau
17,Badlands and Prairies
18,Shortgrass Prairie 
19,Central Mixed-grass Prairie
20,Edwards Plateau
21,Oaks and Prairies
22,Eastern Tallgrass Prairie
23,Prairie Hardwood Transition
24,Central Hardwoods
25,West Gulf Coastal Plain/Ouachitas
26,Mississippi Alluvial Valley
27,Southeastern Coastal Plain 
28,Appalachian Mountains
29,Piedmont 
30,New England/Mid-Atlantic Coast 
31,Peninsular Florida 
32,Coastal California 
33,Sonoran and Mohave Deserts 
34,Sierra Madre Occidental
35,Chihuahuan Desert
36,Tamaulipan Brushlands
37,Gulf Coastal Prairie 
