AOU,English_Common_Name,ConsolAOU,ProblemTaxa
2890,Northern Bobwhite,2890,FALSE
3131,Rock Pigeon,3131,FALSE
3160,Mourning Dove,3160,FALSE
3870,Yellow-billed Cuckoo,3875,TRUE
3940,Downy Woodpecker,3940,FALSE
4050,Pileated Woodpecker,4050,FALSE
4090,Red-bellied Woodpecker,4090,FALSE
4120,(Yellow-shafted Flicker) Northern Flicker,4120,FALSE
4230,Chimney Swift,4230,FALSE
4440,Eastern Kingbird,4440,FALSE
4610,Eastern Wood-Pewee,4610,FALSE
4650,Acadian Flycatcher,4650,FALSE
4770,Blue Jay,4770,FALSE
4880,American Crow,4881,TRUE
4880,American Crow,4882,TRUE
4930,European Starling,4930,FALSE
4950,Brown-headed Cowbird,4955,TRUE
4980,Red-winged Blackbird,4980,FALSE
5010,Eastern Meadowlark,5012,TRUE
5060,Orchard Oriole,5060,FALSE
5110,Common Grackle,5110,FALSE
5290,American Goldfinch,5290,FALSE
5600,Chipping Sparrow,5600,FALSE
5630,Field Sparrow,5630,FALSE
5870,Eastern Towhee,5871,TRUE
5930,Northern Cardinal,5935,TRUE
5970,Blue Grosbeak,5970,FALSE
5980,Indigo Bunting,5980,FALSE
6040,Dickcissel,6040,FALSE
6080,Scarlet Tanager,6080,FALSE
6100,Summer Tanager,6100,FALSE
6110,Purple Martin,6110,FALSE
6130,Barn Swallow,6130,FALSE
6220,Loggerhead Shrike,6220,FALSE
6240,Red-eyed Vireo,6240,FALSE
6310,White-eyed Vireo,6310,FALSE
6730,Prairie Warbler,6730,FALSE
6740,Ovenbird,6740,FALSE
6810,Common Yellowthroat,6810,FALSE
6830,Yellow-breasted Chat,6830,FALSE
6882,House Sparrow,6882,FALSE
7030,Northern Mockingbird,7030,FALSE
7040,Gray Catbird,7040,FALSE
7050,Brown Thrasher,7050,FALSE
7180,Carolina Wren,7180,FALSE
7310,Tufted Titmouse,7315,TRUE
7360,Carolina Chickadee,7352,TRUE
7510,Blue-gray Gnatcatcher,7510,FALSE
7550,Wood Thrush,7550,FALSE
7610,American Robin,7610,FALSE
7660,Eastern Bluebird,7660,FALSE
3930,Hairy Woodpecker,3930,FALSE
4520,Great Crested Flycatcher,4520,FALSE
4560,Eastern Phoebe,4560,FALSE
5070,Baltimore Oriole,5077,TRUE
5460,Grasshopper Sparrow,5460,FALSE
6170,Northern Rough-winged Swallow,6170,FALSE
6370,Prothonotary Warbler,6370,FALSE
6630,Yellow-throated Warbler,6630,FALSE
6120,Cliff Swallow,6122,TRUE
6580,Cerulean Warbler,6580,FALSE
7270,White-breasted Nuthatch,7270,FALSE
4280,Ruby-throated Hummingbird,4295,TRUE
4740,Horned Lark,4740,FALSE
6360,Black-and-white Warbler,6360,FALSE
6520,Yellow Warbler,6520,FALSE
6710,Pine Warbler,6710,FALSE
6770,Kentucky Warbler,6770,FALSE
6410,Blue-winged Warbler,6410,FALSE
7190,Bewick's Wren,7190,FALSE
4060,Red-headed Woodpecker,4060,FALSE
6280,Yellow-throated Vireo,6280,FALSE
6480,Northern Parula,6480,FALSE
6840,Hooded Warbler,6840,FALSE
5810,Song Sparrow,5810,FALSE
6870,American Redstart,6870,FALSE
4900,Fish Crow,4881,TRUE
6190,Cedar Waxwing,6185,TRUE
6390,Worm-eating Warbler,6390,FALSE
6760,Louisiana Waterthrush,6760,FALSE
5190,House Finch,5190,FALSE
6270,Warbling Vireo,6270,FALSE
7210,House Wren,7210,FALSE
22860,Eurasian Collared-Dove,22860,FALSE
5520,Lark Sparrow,5520,FALSE
3100,Wild Turkey,3100,FALSE
6380,Swainson's Warbler,6380,FALSE
6140,Tree Swallow,6140,FALSE
5750,Bachman's Sparrow,5750,FALSE
7290,Brown-headed Nuthatch,7290,FALSE
6160,Bank Swallow,6160,FALSE
3880,Black-billed Cuckoo,3875,TRUE
6670,Black-throated Green Warbler,6670,FALSE
3950,Red-cockaded Woodpecker,3950,FALSE
6290,Blue-headed Vireo,6295,TRUE
6590,Chestnut-sided Warbler,6590,FALSE
3920,unid. woodpecker,3920,FALSE
3200,Common Ground Dove,3200,FALSE
4881,unid. American Crow / Fish Crow,4881,TRUE
3210,Inca Dove,3210,FALSE
6010,Painted Bunting,6010,FALSE
5500,Seaside Sparrow,5500,FALSE
7250,Marsh Wren,7250,FALSE
7560,Veery,7560,FALSE
5130,Boat-tailed Grackle,5135,TRUE
4450,Gray Kingbird,4450,FALSE
3190,White-winged Dove,3190,FALSE
5210,Red Crossbill,5225,TRUE
5210,Red Crossbill,5212,TRUE
4961,Shiny Cowbird,4961,FALSE
6260,Philadelphia Vireo,6260,FALSE
4661,Alder Flycatcher,4665,TRUE
4840,Canada Jay,4840,FALSE
4860,Common Raven,4865,TRUE
5280,Common Redpoll,5280,FALSE
5540,White-crowned Sparrow,5540,FALSE
5670,(Slate-colored Junco) Dark-eyed Junco,5670,FALSE
6150,Violet-green Swallow,6150,FALSE
6180,Bohemian Waxwing,6185,TRUE
6460,Orange-crowned Warbler,6460,FALSE
6550,(Myrtle Warbler) Yellow-rumped Warbler,6550,FALSE
6750,Northern Waterthrush,6750,FALSE
6800,MacGillivray's Warbler,6800,FALSE
7490,Ruby-crowned Kinglet,7490,FALSE
7570,Gray-cheeked Thrush,7570,FALSE
7580,Swainson's Thrush,7580,FALSE
7630,Varied Thrush,7630,FALSE
4590,Olive-sided Flycatcher,4590,FALSE
4680,Hammond's Flycatcher,4689,TRUE
5220,White-winged Crossbill,5225,TRUE
5420,Savannah Sparrow,5420,FALSE
5830,Lincoln's Sparrow,5830,FALSE
6850,Wilson's Warbler,6850,FALSE
7400,Boreal Chickadee,7354,TRUE
7540,Townsend's Solitaire,7540,FALSE
7590,Hermit Thrush,7590,FALSE
5150,Pine Grosbeak,5150,FALSE
5850,Fox Sparrow,5850,FALSE
4630,Yellow-bellied Flycatcher,4630,FALSE
6680,Townsend's Warbler,6685,TRUE
3010,Willow Ptarmigan,3010,FALSE
4010,American Three-toed Woodpecker,4010,FALSE
4570,Say's Phoebe,4570,FALSE
4620,Western Wood-Pewee,4620,FALSE
