RTENO,RTENAME,Av_HMindex
2001,ST FLORIAN,0.45199745893478394
2004,TRADE,0.3995300531387329
2006,VALHRMSA SPG,0.5243143439292908
2007,SWAIM,0.3610301911830902
2008,PINE GROVE,0.3970608413219452
2009,DAWSON,0.4382920563220978
2010,MILLERVILLE,0.2076871395111084
2012,SUNNY EVE,0.1744544506072998
2013,GREENSPORT,0.44471603631973267
2014,SMYER LAKE,0.4960974454879761
2015,MT OLIVE,0.3859381675720215
2016,HOWARD,0.3024600148200989
2017,MAYTOWN,0.3639160096645355
2019,LIBERTY,0.2195856124162674
2020,RIDERWOOD,0.19028927385807037
2021,LINDEN,0.17299000918865204
2022,HARRELL,0.21749559044837952
2023,GREENSBORO,0.13791391253471375
2024,SPRAGUE,0.2127329260110855
2025,BILLINGSLEY,0.3496522605419159
2026,WALLSBORO,0.4304371178150177
2027,WARRIOR STD,0.3093954026699066
2028,LANETT,0.3246668875217438
2029,COTTONTON,0.21430841088294983
2030,NEWTON,0.4594019651412964
2031,GRANGEBURG,0.4376963973045349
2032,BRUNDIDGE,0.34886062145233154
2033,BRANTLEY,0.32628944516181946
2034,SOUTH,0.14354680478572845
2035,MCLELLAN,0.1202656477689743
2036,BEATRICE,0.20655398070812225
2037,LATHAM,0.15399612486362457
2038,CASTLEBERRY,0.21806418895721436
2039,MILLRY,0.14872999489307404
2041,ALABAMA PT,0.5696683526039124
2043,BLOCTON,0.36681750416755676
2045,WHITEHOUSE,0.2560664415359497
2046,GUNTERSVILLE,0.4606604278087616
2047,JENA,0.2838309705257416
2048,EPES,0.19777794182300568
2049,WEDGEWORTH,0.2923993468284607
2050,WHITEHALL,0.2532484233379364
2051,LIBERTY CITY,0.20044925808906555
2052,ESCATAWPA,0.12549364566802979
2053,GROVE HILL,0.3127812147140503
2054,FAIRVIEW,0.26962944865226746
2055,ELAMVILLE,0.2063537836074829
2056,CHILDERSBURG,0.44974762201309204
2057,YOUNGTOWN,0.15211205184459686
2058,MENTONE,0.36405953764915466
2059,CARROLLTON,0.16219496726989746
2060,HOLT,0.22896070778369904
2061,ODENVILLE,0.3775792121887207
2062,BORDEN SPRNG,0.17197562754154205
2063,ROCK CHAPEL,0.2027502954006195
2064,NIXBURG,0.13921990990638733
2065,CALEBEE,0.21591241657733917
2066,APPLETON,0.24127165973186493
2067,MT. GILEAD,0.28664296865463257
2068,MADRID,0.38003575801849365
2069,GEORGETOWN,0.39406606554985046
2070,BON SECOUR,0.5183322429656982
2071,WHEELER DAM,0.5414795875549316
2072,ELKMONT,0.4094245135784149
2073,WOODVILLE,0.31764358282089233
2102,COURTLAND,0.3734578490257263
2105,BROOKSVILLE,0.38594695925712585
2111,CHOCCOLOCCO,0.3886331617832184
2140,ALABAMA PORT,0.44278788566589355
2142,ELBERTA,0.3962492346763611
2201,VINA,0.21860085427761078
2203,CARTER GROVE,0.5464199781417847
2204,STEVENSON,0.4544064402580261
2205,VERNON,0.24909967184066772
2206,JASPER,0.38420549035072327
2207,ONEONTA,0.388995885848999
2208,TALLADEGA,0.3865877687931061
2209,WEDOWEE,0.29023051261901855
2210,GASTONBURG,0.20950770378112793
2211,AUTAUGAVILLE,0.33640050888061523
2212,SEALE,0.2529786229133606
2213,CITRONELLE,0.16989091038703918
2214,CLAIBORNE,0.25869086384773254
2215,HELICON,0.2957524359226227
2216,EUFAULA,0.2121284455060959
2217,ST. ELMO,0.5076521039009094
2218,BAY MINETTE,0.29846739768981934
6002,HOUSE ROCK,0.02095535770058632
6003,THE GAP,0.13441799581050873
6004,BLACK MESA,0.13350914418697357
6009,FLAGSTAFF,0.040481265634298325
6010,ORAIBI,0.04662694036960602
6011,SAWMILL,0.12150301039218903
6012,OATMAN,0.14463013410568237
6013,WIKIEUP,0.058483414351940155
6014,PRESCOTT,0.3651590049266815
6017,HUNT,0.10645747184753418
6018,QUARTZSITE,0.0702170878648758
6020,NEW RIVER,0.4320804476737976
6024,LAGUNA,0.40259695053100586
6025,DATELAND,0.18150553107261658
6026,AJO,0.14879950881004333
6028,POMERENE,0.07372641563415527
6029,SAN SIMON,0.02401001565158367
6031,PENA BLANCA,0.08785580843687057
6032,PATAGONIA,0.12761293351650238
6033,SUNIZONA,0.06797194480895996
6051,TOROWEAP,0.035285234451293945
6052,DRY PARK,0.03434788063168526
6053,PAGE,0.18555337190628052
6054,COW SPRINGS,0.16032135486602783
6055,MANY FARMS,0.09412351995706558
6056,RIVIERA,0.2201731652021408
6057,ANTARES,0.07579170912504196
6058,WILLIAMS,0.1560244858264923
6059,MAINE,0.10471292585134506
6060,CASTLE BUTTE,0.14801764488220215
6061,GREASEWOOD,0.20668677985668182
6063,ALAMO RES.,0.06700840592384338
6064,SKULL VALLEY,0.11090238392353058
6065,TONTO VILL.,0.08925087749958038
6066,FOREST LAKES,0.05677500739693642
6067,PINETOP,0.1771126389503479
6068,CIBOLA LAKE,0.09234502166509628
6069,GILA BEND,0.08369450271129608
6070,PALO VERDE,0.2751757800579071
6071,BARTLETT RES,0.21393363177776337
6072,CUTTER,0.13788139820098877
6073,ALPINE,0.054568108171224594
6074,ARABY,0.4730242192745209
6076,PISINIMO,0.07550845295190811
6077,RED ROCK,0.2368195503950119
6078,REDINGTON,0.05835094302892685
6079,MT. GRAHAM,0.040506817400455475
6080,CABEZA PRIET,0.02032993920147419
6081,AMADO,0.1300434172153473
6082,SAHUARITA,0.10383996367454529
6083,MCNEAL,0.07461993396282196
6101,NAVAJO TRAIL,0.03732217848300934
6103,KAIBITO,0.11373792588710785
6105,TSAILE,0.07763440161943436
6106,WILLOW BEACH,0.07654070854187012
6107,PEACH SPRING,0.1654157042503357
6108,SELIGMAN,0.14705248177051544
6115,HAPPY JACK,0.06206008046865463
6116,CLAY SPRING,0.06725078076124191
6119,HOPE,0.15449665486812592
6121,CASA GRANDE,0.3258698880672455
6122,CARR MTN,0.03922699764370918
6123,SPRUCEDALE,0.04971601068973541
6127,CATUS FOREST,0.47393086552619934
6130,ORGAN PIPE,0.11415640264749527
6133,PORTAL,0.052028838545084
6176,BATES WELL,0.03188486397266388
6900,DRAGOON,0.045473597943782806
6901,RUCKER,0.035562556236982346
7001,OLD MILO,0.29272225499153137
7002,EUDORA,0.3332427144050598
7004,LOCUST BAYOU,0.19757144153118134
7005,STAMPS,0.2745928168296814
7006,HOPE,0.31054922938346863
7007,ASHDOWN,0.30893346667289734
7008,HUGHES,0.47983312606811523
7010,SOUTH BEND,0.2528393864631653
7012,POYEN,0.30857497453689575
7013,HOLLYWOOD,0.13615445792675018
7014,BLAKELY,0.40157023072242737
7015,WALDRON,0.08734694123268127
7016,HARRISBURG,0.5279840230941772
7018,AUGUSTA,0.5242195129394531
7019,SAFFELL,0.2772594392299652
7020,RUPERT,0.1524484008550644
7021,STARK,0.33446675539016724
7022,COAL HILL,0.46367567777633667
7023,LURTON,0.15075844526290894
7024,MASSARD,0.669666588306427
7025,MAYNARD,0.45792311429977417
7026,ZION,0.2864518165588379
7027,FULTON,0.2092861831188202
7028,COMPTON,0.15285524725914001
7029,AVOCA,0.6218258142471313
7103,PRINCETON,0.07638486474752426
7109,ULM,0.5260414481163025
7111,NANCE,0.27945417165756226
7117,WILSON,0.6004671454429626
7900,OZARK NF,0.13511024415493011
7901,MAGAZINE MTN,0.10983957350254059
7902,BOSTON MTN.,0.13298311829566956
7903,FOUR LAKES,0.05175686627626419
14001,HORSE CREEK,0.12444458901882172
14003,NUBIEBER,0.19435691833496094
14004,CRESCENT CTY,0.43452712893486023
14005,HONEYDEW,0.1582202911376953
14006,HOLMES,0.1948770135641098
14007,RED BLUFF,0.2781140208244324
14009,EAGLE LAKE,0.039073459804058075
14011,HULLVILLE,0.03693404421210289
14012,PENNINGTON,0.28500890731811523
14013,WESTVILLE,0.054424066096544266
14014,FISH ROCK,0.2852220833301544
14015,RUMSEY,0.07507617026567459
14016,RIOVISTA,0.3395178020000458
14018,DARDANELLE,0.07232559472322464
14020,COLLEGEVILLE,0.6547185778617859
14021,HUGHSON,0.40959301590919495
14022,BASS LAKE,0.2744411528110504
14023,BIG PINE,0.015867596492171288
14024,CARUTHERS,0.40542906522750854
14025,TRES PINOS,0.3652776777744293
14026,OILFIELDS,0.4687098264694214
14027,GRAVESBORO,0.6259938478469849
14028,YOKOHL VAL,0.19860485196113586
14029,UBEHEBE,0.006476056762039661
14030,HAIWEE RES,0.0516858771443367
14031,WILDROSE,0.009317098185420036
14032,PARKFIELD,0.34053152799606323
14033,BAKERSFIELD,0.3775434195995331
14034,ONYX,0.16116715967655182
14035,CALIF CITY,0.23816491663455963
14036,GOLDSTONE,0.03232565522193909
14037,VALLEY WELLS,0.04955948516726494
14038,SANTA YNEZ,0.284923791885376
14039,FOSTER PARK,0.26207831501960754
14040,WILLOW SPGS,0.18938298523426056
14041,BARSTOW,0.23912256956100464
14042,MT PINOS,0.15948988497257233
14043,CADIZ,0.09747085720300674
14044,PARKER DAM,0.36068999767303467
14045,HARBOR LAKE,0.830902099609375
14046,MORENO,0.6272342205047607
