variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,Predictor
b_Intercept,0.06927740928045209,0.06968370646670582,0.018467504780859227,0.018589435440180747,0.03865841862868692,0.09925605953174375,1.0048043437258387,1333.7314370403597,2079.1217491920465,N_Years
sigma,0,0,0,0,0,0,NA,NA,NA,N_Years
lprior,-1.9173166221948195,-1.9172776140447474,1.314605180905304e-4,1.095872064612673e-4,-1.91758090545689,-1.9171819894274598,1.0046662362864058,1345.8394327079825,2079.1217491920465,N_Years
lp__,10.371278885500741,10.638261937227727,0.6842666531115817,0.30744436518652746,8.949469437894459,10.863200318270422,1.0006736963612128,1996.1289463209157,2874.815299721377,N_Years
b_Intercept,0.024767140914542313,0.025151511397393304,0.029501314763544305,0.030392943073757298,-0.023619305555778614,0.07184229413086733,1.0037680252795738,1461.8730448458693,1697.306851709987,Humans
sigma,0,0,0,0,0,0,NA,NA,NA,Humans
lprior,-1.9173378072971843,-1.9172610217079153,2.0209028323756978e-4,1.0891476706561611e-4,-1.917730046047604,-1.9171804133342454,1.0033778852147988,1763.9987675114712,1697.306851709987,Humans
lp__,3.352032317621203,3.6150911219513726,0.6941400806695169,0.34022057594141364,1.9802529199516454,3.861709074504448,1.003270337667692,1729.1625392757564,2083.8125349861193,Humans
b_Intercept,0.14158934164222942,0.13848888805142678,0.10230983605498807,0.10000479386944262,-0.022425178806329018,0.3141796808997879,1.0006866274966506,1418.043231588966,1797.7966223920064,CV
sigma,0,0,0,0,0,0,NA,NA,NA,CV
lprior,-1.9209654430165912,-1.9199829224066918,0.0037221255087066868,0.003127487919895619,-1.9282378172738737,-1.9172199860639785,1.0000859066916428,1433.2547636733545,1797.7966223920064,CV
lp__,-50.17941060806397,-49.89923819076388,0.7121154327998307,0.29308717696152026,-51.58017391391949,-49.68562304318461,1.0006070890640442,1981.952711214374,2226.4429930183924,CV
b_Intercept,0.13999328702456773,0.1399541893435311,0.05255606218971629,0.05302833140332782,0.054020281269889316,0.22678527088496778,1.0013992058676542,1414.3829733896741,1927.1127967463553,Alpha
sigma,0,0,0,0,0,0,NA,NA,NA,Alpha
lprior,-1.9195625163584196,-1.919267789643944,0.0016308368351706322,0.0015333644549528729,-1.9226581040899133,-1.9174919509453436,1.0008045174284121,1412.9867709007062,1927.1127967463553,Alpha
lp__,-26.93118392755752,-26.658708383905733,0.7248253305450572,0.32254696753889434,-28.380958611005223,-26.42320760596123,1.0016263564566568,1935.7897344298367,2204.1584599356274,Alpha
b_Intercept,0.01728259961597347,0.016825184192051305,0.05238189953001073,0.05347186686294922,-0.06922608280107027,0.1018995178098621,1.0034090449816768,1210.7795130962402,2083.6901939293957,Gamma
sigma,0,0,0,0,0,0,NA,NA,NA,Gamma
lprior,-1.9175039710617496,-1.917327152477135,4.4629368852770306e-4,2.0399238977255094e-4,-1.9184147022522426,-1.91718081380306,1.0021826837276,2079.7989273236467,2629.0977059624124,Gamma
lp__,-30.91657051392803,-30.654581625474307,0.6971174273347924,0.32243334557471204,-32.315267395708915,-30.42079901189879,1.0019871776873008,1914.174577827144,2704.60211159295,Gamma
